Type,Sku,Name/Product Title,Manufacture Name,Short Description,Description,Part Number,_tni_model,In stock,Regular Price,Special Price,_supplier_name,_supplier_price,product_code,pcs,tag,color,size,Focus Keyword,Meta _Description,Categories,Images,Features_1,Features_2,Features_3,Features_4,Features_5,Features_6,Features_7,Features_8,Features_9,Features_10,specification_1,specification_2,specification_3,specification_4,specification_5,specification_6,specification_7,specification_8,specification_9,specification_10,specification_11,specification_12,specification_13,specification_14,specification_15,specification_16,specification_17,specification_18,specification_19,specification_20,wpbm_choose_badge
,pack-10-0002,"Al Bayader - Croissants Paper Bag, 14+7x21cm (For 6 Croissants) - 1000 pcs",ALBAYADER,"Al Bayader - Croissants Paper Bag, 14+7x21cm (For 6 Croissants) - 1000 pcs","Al Bayader International paper bag is safe, strong and economical food serving alternatives for fast food, cafeterias, and catering services. These eco-friendly bag is disposable and is perfect for storing hot or cold. Environmentally friendly material.",,044C06,1,86.25,,Al Bayader,75,,,,,,Croissants Paper Bag,E-commerce Mailer Box  -XXSmall -18 x 15 x 4.5 CM - Brown -,Bags > All Specialty Bags > Cookie Bags,/al-bayader-croissants-paper-bag-14-+-7-x-21cm-(for-6-croissants)-1000-pcs-1.jpg,Environmentally friendly material,Printed Paper bags,Wrap and carry bags,,,,,,,,Brand Name: Al Bayader,Dimensions: 14+7x21cm,Packing/Carton: 1000 Pcs,Material: Paper,,,Model: 044C06,,,,,,,,,,,,,,
,pack-10-0003,"Al Bayader - Croissants Paper Bag, 18+8x27cm (For 12 Croissants) - 1000 pcs",ALBAYADER,"Al Bayader - Croissants Paper Bag, 18+8x27cm (For 12 Croissants) - 1000 pcs","Al Bayader International paper bag is safe, strong and economical food serving alternatives for fast food, cafeterias, and catering services. These eco-friendly bag is disposable and is perfect for storing hot or cold. Environmentally friendly material.",,044C12,1,109.25,,Al Bayader,95,,,,,,Croissants Paper Bag,,Bags > All Specialty Bags > Cookie Bags,/al-bayader-croissants-paper-bag-18-+-8-x-27cm-(for-12- croissants)-1000-pcs-1.jpg,Environmentally friendly material,Printed Paper bags,Wrap and carry bags,,,,,,,,Brand Name: Al Bayader,Dimensions: 18+8x27cm,Packing/Carton: 1000 Pcs,Material: Paper,,,Model: 044C12,,,,,,,,,,,,,,
,pack-10-0004,"Al Bayader - Disposable Latex Gloves, Large - 100pcs x 10pkts",ALBAYADER,"Al Bayader - Disposable Latex Gloves, Large - 100pcs x 10pkts","Al Bayader International? Disposable Latex Gloves are dusted with a light powder coating to facilitate putting them on and taking them off. Designed for total touch sensitivity, these gloves are made from soft stretch material sculpt themselves to the shape of your hands.",,073LGL,1,126.5,,Al Bayader,110,,,,,,Disposable Latex Gloves,,Hygiene and Protection > Gloves,"/al-bayader-disposable-latex-gloves-large-100pcs-x-10pkts-1.jpg,/al-bayader-disposable-latex-gloves-large-100pcs-x-10pkts-2.jpg,/al-bayader-disposable-latex-gloves-large- 100pcs-x-10pkts-3.jpg",Extremely elastic and resistant to tearing,Disposable gloves,Comfortable & and provides good fit,,,,,,,,Brand Name: Al Bayader,Material: Latex,Size: Large,Color: White,No. of pcs in one pack: 100,No. of packs in one carton: 10,Model: 073LGL,,,,,,,,,,,,,,
,pack-10-0005,"Al Bayader - Disposable Latex Gloves, Medium - 100pcs x 10pkts",ALBAYADER,"Al Bayader - Disposable Latex Gloves, Medium - 100pcs x 10pkts","Al Bayader International? Disposable Latex Gloves are dusted with a light powder coating to facilitate putting them on and taking them off. Designed for total touch sensitivity, these gloves are made from soft stretch material sculpt themselves to the shape of your hands.",,073LGM,1,126.5,,Al Bayader,110,,,,,,Disposable Latex Gloves,,Hygiene and Protection > Gloves,"/al-bayader-disposable-latex-gloves-medium-100pcs-x-10pkts-1.jpg,/al-bayader-disposable-latex-gloves-medium-100pcs-x-10pkts-2.jpg,/al-bayader-disposable-latex- gloves-medium-100pcs-x-10pkts-3.jpg",Extremely elastic and resistant to tearing,Disposable gloves,Comfortable & and provides good fit,,,,,,,,Brand Name: Al Bayader,Material: Latex,Size: Medium,Color: White,No. of pcs in one pack: 100,No. of packs in one carton: 10,Model: 073LGM,,,,,,,,,,,,,,
,pack-10-0006,"Al Bayader - Disposable Latex Gloves, Small - 100pcs x 10pkts",ALBAYADER,"Al Bayader - Disposable Latex Gloves, Small - 100pcs x 10pkts","Al Bayader International? Disposable Latex Gloves are dusted with a light powder coating to facilitate putting them on and taking them off. Designed for total touch sensitivity, these gloves are made from soft stretch material sculpt themselves to the shape of your hands.",,073LGS,1,126.5,,Al Bayader,110,,,,,,Disposable Latex Gloves,,Hygiene and Protection > Gloves,"/al-bayader-disposable-latex-gloves-small-100pcs-x-10pkts-1.jpg,/al-bayader-disposable-latex-gloves-small-100pcs-x-10pkts-2.jpg,/al-bayader-disposable-latex-gloves-small-100pcs-x-10pkts-3.jpg",Extremely elastic and resistant to tearing,Disposable gloves,Comfortable & and provides good fit,,,,,,,,Brand Name: Al Bayader,Material: Latex,Size: Small,Color: White,No. of pcs in one pack: 100,No. of packs in one carton: 10,Model: 073LGS,,,,,,,,,,,,,,
,pack-10-0007,"Al Bayader - Disposable Latex Powder Free Gloves, Large - 100pcs x 10pkts",ALBAYADER,"Al Bayader - Disposable Latex Powder Free Gloves, Large - 100pcs x 10pkts","Al Bayader International disposable latex powerder free gloves are made of high quality and with maximum absorbency. This is perfect for food service and handling food, which promotes hygiene at home. Gloves are made of high quality material and does not tear fast. Environmentally friendly, making it a responsible choice for your business.",,073LGL-PF,1,138,,Al Bayader,120,,,,,,Disposable Latex Gloves,,Hygiene and Protection > Gloves,"/al-bayader-disposable-latex-powder-free-gloves-large-100pcs-x-10pkts-1.jpg,/al-bayader-disposable-latex-powder-free-gloves-large-100pcs-x-10pkts-2.jpg,/al-bayader-disposable-latex-powder-free-gloves-large-100pcs-x-10pkts-3.jpg",High quality durable material used for packaging which keeps the shipment safe and sturdy,Powder Free gloves,Gloves are made of high quality material and does not tear fast,,,,,,,,Brand Name: Al Bayader,Material: Latex,Size: Large,Color: White,No. of pcs in one pack: 100,No. of packs in one carton: 10,Model: 073LGL-PF,,,,,,,,,,,,,,
,pack-10-0008,"Al Bayader - Disposable Latex Powerder Free Gloves, Medium - 100pcs x 10pkts",ALBAYADER,"Al Bayader - Disposable Latex Powerder Free Gloves, Medium - 100pcs x 10pkts","Al Bayader International disposable latex powerder free gloves are made of high quality and with maximum absorbency. This is perfect for food service and handling food, which promotes hygiene at home. Gloves are made of high quality material and does not tear fast. Environmentally friendly, making it a responsible choice for your business.",,073LGM-PF,1,138,,Al Bayader,120,,,,,,Disposable Latex Gloves,,Hygiene and Protection > Gloves,"/al-bayader-disposable-latex-powder-free-gloves-medium-100pcs-x-10pkts-1.jpg,/al-bayader-disposable-latex-powder-free-gloves-medium-100pcs-x-10pkts-2.jpg,/al-bayader-disposable-latex-powder-free-gloves-medium-100pcs-x-10pkts-3.jpg",High quality durable material used for packaging which keeps the shipment safe and sturdy,Powder Free gloves,Gloves are made of high quality material and does not tear fast,,,,,,,,Brand Name: Al Bayader,Material: Latex,Size: Medium,Color: White,No. of pcs in one pack: 100,No. of packs in one carton: 10,Model: 073LGM-PF,,,,,,,,,,,,,,
,pack-10-0009,"Bcleen - Disposable Latex Powder Free Medical Gloves, Large - 100pcs x 10pkts",Bcleen,"Bcleen - Disposable Latex Powder Free Medical Gloves, Large - 100pcs x 10pkts","Bcleen? Medical Examination Latex Gloves offer reliable protection against cross-contaminants. They are powder-free and fit either hand perfectly. Designed for total touch sensitivity, these gloves are made from soft stretch material, sculpt themselves to the shape of your hands.",,073LMGL-PF,1,149.5,,Bcleen,130,,,,,,Medical gloves,,Hygiene and Protection > Gloves,"/bcleen-disposable-latex-powder-free-medical-gloves-large-100pcs-x-10pkts-1.jpg,/bcleen-disposable-latex-powder-free-medical-gloves-large-100pcs-x-10pkts-2.jpg,/bcleen-disposable-latex-powder-free-medical-gloves-large-100pcs-x-10pkts-3.jpg",Gloves that are powder-free reduce the cause of allergies,High anti tear properties,Comfortable to wear for long time and does not leave residue,,,,,,,,Brand Name: Bcleen,Material: Latex,Size: Large,,,,Model: 073LMGL-PF,,,,,,,,,,,,,,
,pack-10-0010,"Bcleen - Disposable Latex Powder Free Medical Gloves, Medium - 100pcs x 10pkts",Bcleen,"Bcleen - Disposable Latex Powder Free Medical Gloves, Medium - 100pcs x 10pkts","Bcleen? Medical Examination Latex Gloves offer reliable protection against cross-contaminants. They are powder-free and fit either hand perfectly. Designed for total touch sensitivity, these gloves are made from soft stretch material, sculpt themselves to the shape of your hands.",,073LMGM-PF,1,149.5,,Bcleen,130,,,,,,Medical gloves,,Hygiene and Protection > Gloves,"/bcleen-disposable-latex-powder-free-medical-gloves-medium-100pcs-x-10pkts-1.jpg,/bcleen-disposable-latex-powder-free-medical-gloves-medium-100pcs-x-10pkts-2.jpg,/bcleen-disposable-latex-powder-free-medical-gloves-medium-100pcs-x-10pkts-3.jpg",Gloves that are powder-free reduce the cause of allergies,High anti tear properties,Comfortable to wear for long time and does not leave residue,,,,,,,,Brand Name: Bcleen,Material: Latex,Size: Medium,,,,Model: 073LMGM-PF,,,,,,,,,,,,,,
,pack-10-0011,"Bcleen - Powder Free Disposable Latex Medical Gloves, Small - 100pcs x 10pkts",Bcleen,"Bcleen - Powder free Disposable Latex Medical Gloves, Small - 100pcs x 10pkts","Bcleen? Medical Examination Latex Gloves offer reliable protection against cross-contaminants. They are powder-free and fit either hand perfectly. Designed for total touch sensitivity, these gloves are made from soft stretch material, sculpt themselves to the shape of your hands.",,073LMGS-PF,1,149.5,,Bcleen,130,,,,,,Medical gloves,,Hygiene and Protection > Gloves,"/bcleen-powder-free-disposable-latex-medical-gloves-small-100pcs-x-10pkts-1.jpg,/bcleen-powder-free-disposable-latex-medical-gloves-small-100pcs-x-10pkts-2.jpg,/bcleen-powder-free-disposable-latex-medical-gloves-small-100pcs-x-10pkts-3.jpg",Gloves that are powder-free reduce the cause of allergies,High anti tear properties,Comfortable to wear for long time and does not leave residue,,,,,,,,Brand Name: Bcleen,Material: Latex,Size: Small,,,,Model: 073LMGS-PF,,,,,,,,,,,,,,
